VARIABLE NAME,DESCRIPTION,SAS ANALYSIS FORMAT,SAS SYSTEM DATA LENGTH,SAS FORMAT,FORM,VAR START DATE,VAR END DATE,FORM SECTION,DATA TYPE,INTERPRETATION_TYPE,Delete When,nas,VARIABLE LABEL IN SAS DATA,COMMENT 
PRIOR_LUNG_SURG_TYPE_TRR,TRR LUNG SURGERY TYPE BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),LUNGSURG,8,6,TRR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR LUNG SURGERY TYPE BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),
PROC_TY_HR,PROCEDURE TYPE FOR HEART ONLY,HR_PROC,8,6,TRR,,,TRANSPLANT CLINICAL INFORMATION,NUM,CHAR,,,TRR PROCEDURE INFORMATION (HEART ONLY),
PROS_INFUS_TCR,TCR CANDIDATE PROSTACYCLIN INFUSION,,8,1,TCR,,,,NUM,CHAR,,,TCR Prostacyclin Infusion,
PROS_INFUS_TRR,TRR RECIPIENT PROSTACYCLIN INFUSION,,8,1,TRR,,,PATIENT STATUS,NUM,CHAR,,,TRR Life Support PROSTACYCLIN INFUSION,
PROSTACYCLIN_TCR,TCR CANDIDATE PROSTACYCLIN INHALATION,,8,1,TCR,,,,NUM,CHAR,,,TCR Prostacyclin Inhalation,
PROSTACYCLIN_TRR,TRR RECIPIENT PROSTACYCLIN INHALATION,,8,1,TRR,30-Jun-04,,PATIENT STATUS,NUM,CHAR,,,TRR Life Support PROSTACYCLIN INHALATION,
PROTEIN_URINE,DECEASED DONOR PROTEIN IN URINE,,1,$1.00 ,DDR,25-Oct-99,,CLINICAL INFORMATION,CHAR,CHAR,,,DON PROTEIN IN URINE,
PRVTXDIF,RECIPIENT DAYS BETWEEN PREVIOUS AND CURRENT TRANSPLANT,,8,,CALCULATED,,,,NUM,NUM,,,DAYS BETWEEN PREVIOUS AND CURRENT TX,
PST_AIRWAY,EVENTS PRIOR TO DISCHARGE: AIRWAY DEHISCENCE,,1,$1.00 ,TRR,1-Apr-94,,POST TRANSPLANT CLINICAL INFORMATION,CHAR,D,U,U,TRR AIRWAY DEHISCENCE - POST TRANSPLANT,
PST_DIAL,EVENTS PRIOR TO DISCHARGE: DIALYSIS,,1,$1.00 ,TRR,1-Apr-94,,POST TRANSPLANT CLINICAL INFORMATION,CHAR,D,U,U,TRR DIALYSIS - POST TRANSPLANT,
PST_PACEMAKER,EVENTS PRIOR TO DISCHARGE: PERMANENT PACEMAKER,,1,$1.00 ,TRR,1-Apr-94,,POST TRANSPLANT CLINICAL INFORMATION,CHAR,D,U,U,TRR PERMANENT PACEMAKER - POST TRANSPLANT,
PST_STROKE,EVENTS PRIOR TO DISCHARGE: STROKE,,1,$1.00 ,TRR,1-Apr-94,,POST TRANSPLANT CLINICAL INFORMATION,CHAR,D,U,U,TRR STOKE - POST TRANSPLANT,
PSTATUS,"Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)",,3,,TRR/TRF-CALCULATED,1-Oct-87,,PATIENT STATUS,NUM,D,,,Boolean Most Recent Patient Status (based on composite death date) ,
PT_CODE,ENCRYPTED RECIPIENT IDENTIFIER,,8,,CALCULATED,,,,NUM,D,,,ENCRYPTED RECIPIENT IDENTIFIER,
PT_DIURETICS_DON,DECEASED DONOR-DIURETICS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR PRERECOVERY DIURETICS,
PT_OTH1_OSTXT_DON,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #1,,50,$50.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER PRERECOVERY MEDS TEXT,
PT_OTH2_OSTXT_DON,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #2,,50,$50.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER PRERECOVERY MEDS TEXT,
PT_OTH3_OSTXT_DON,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #3,,50,$50.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER PRERECOVERY MEDS TEXT,
PT_OTH4_OSTXT_DON,DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT #4,,50,$50.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER PRERECOVERY MEDS TEXT,
PT_STEROIDS_DON,DECEASED DONOR-STEROIDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR PRERECOVERY STEROIDS,
PT_T3_DON,DECEASED DONOR-TRIIODOTHYRONINE-T3 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,,1,$1.00 ,DDR,25-Oct-99,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR PRERECOVERY TRIIODOTHYRONINE-T3,
PT_T4_DON,DECEASED DONOR-THYROXINE-T4 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR PRERECOVERY THYROXINE-T4,
PTIME,Patient Survival Time in days (based on composite death date),,4,,CALCULATED,,,,NUM,D,,,Patient Survival Time in days (based on composite death date),
PULM_CATH_DON,"DDR PA CATH (Y,N)",,1,1,DDR,25-Oct-99,,ORGAN RECOVERY,CHAR,CHAR,,,"DDR PA CATH (Y,N)",
PULM_INF_CONF_DON,DECEASED DONOR-INFECTION PULMONARY SOURCE-CONFIRMED,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR PULMONARY INFECTION CONFIRMED,
PULM_INF_DON,DECEASED DONOR-INFECTION PULMONARY SOURCE,,8,1,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,CHAR,,,DDR PULMONARY INFECTION,
PX_STAT,"RECIPIENT STATUS(Died, ReTX, Lost, Alive)",,1,$1.00 ,TRR/TRF-CALCULATED,1-Oct-87,,PATIENT STATUS,CHAR,CHAR,,,"PAT/GRF STATUS: DIED, RETX, LOST, ALIVE",
PX_STAT_DATE,RECIPIENT STATUS DATE,,8,MMDDYY10.,TRR/TRF-CALCULATED,2-Oct-87,,PATIENT STATUS,NUM,D,,,"DATE OF DEATH, RE-TX OR LAST FOLLOW-UP",
RA1,RECIPIENT A1 ANTIGEN,ALOCUS,4,,RH,1-Oct-87,,RECIPIENT HLA TYPING,NUM,CHAR,,,Computed Recipient A1 Antigen,
RA2,RECIPIENT A2 ANTIGEN,ALOCUS,4,,RH,1-Oct-87,,RECIPIENT HLA TYPING,NUM,CHAR,,,Computed Recipient A2 Antigen,
RB1,RECIPIENT B1 ANTIGEN,BLOCUS,4,,RH,1-Oct-87,,RECIPIENT HLA TYPING,NUM,CHAR,,,Computed Recipient B1 Antigen  ,
RB2,RECIPIENT B2 ANTIGEN,BLOCUS,4,,RH,1-Oct-87,,RECIPIENT HLA TYPING,NUM,CHAR,,,Computed Recipient B2 Antigen  ,
RDR1,RECIPIENT DR1 ANTIGEN,DRLOCUS,4,,RH,1-Oct-87,,RECIPIENT HLA TYPING,NUM,CHAR,,,Computed Recipient DR1 Antigen  ,
RDR2,RECIPIENT DR2 ANTIGEN,DRLOCUS,4,,RH,1-Oct-87,,RECIPIENT HLA TYPING,NUM,CHAR,,,Computed Recipient DR2 Antigen  ,
RECOV_COUNTRY,COUNTRY OF ORGAN RECOVERY IF NOT U.S.,$CTRY,3,$3.00 ,LDR,25-Oct-99,,ORGAN RECOVERY,CHAR,CHAR,,,DON SPECIFY COUNTRY,
RECOV_OUT_US,ORGAN RECOVERED OUTSIDE U.S.,,1,$1.00 ,LDR,25-Oct-99,,ORGAN RECOVERY,CHAR,CHAR,,,DON RECOVERED OUTSIDE THE U.S.,
RECOVERY_DATE_DON,ORGAN RECOVERY DATE,,8,MMDDYY10.,DDR / LDR,1-Oct-87,,ORGAN RECOVERY,NUM,D,,,RECOVERY DATE (SENT TO OR),
REFERRAL_DATE,DATE OF REFERRAL CALL,,8,MMDDYY10.,DDR,1-Apr-94,,PROVIDER INFORMATION,NUM,D,,,DDR DATE OF REFERRAL CALL,
REGION,UNOS REGION WHERE TRANSPLANTED/LISTED,,8,11,CALCULATED,,,,NUM,CHAR,,,REGION,
REINTUBATED,RECIPIENT REINTUBATED POST TRANSPLANT,,1,$1.00 ,TRR,30-Jun-04,,POST TRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR Reintubated,
REM_CD,REASON FOR REMOVAL FROM THE WAITING LIST,REMCD,8,3,WAITING LIST DATA,1-Oct-87,,WAITING LIST DATA,NUM,CHAR,,,LISTING REMOVAL CODE,THIS IS MISSING IF PATIENT IS STILL WAITING AT TIME DATASET CREATED
RESIST_INF,PAN-RESISTANT BACTERIAL INFECTION @ REGISTRATION,,1,$1.00 ,TCR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,TCR LUNG PAN-RESISTANT BACTERIAL INFECT,
RESUSCIT_DUR,DECEASED DONOR-RESUSCITATION FOLLOWING CARDIAC ARREST POST BRAIN DEATH,,8,10.2,DDR,25-Oct-99,,CLINICAL INFORMATION,NUM,NUM,,,DON DURATION OF RESUSCITATION,
RETXDATE,DATE RE-TRANSPLANTED,,8,MMDDYY8.,CALCULATED,,,,NUM,D,,,DATE OF RE-TRANSPLANT,
RVAD_AT_LISTING,RVAD AT LISTING,,8,,WL DATA,,,,NUM,CHAR,,,RVAD AT LISTING,
RVAD_WHILE_LISTED,RVAD IMPLANTED DURING LISTING,,8,,WL DATA,,,,NUM,CHAR,,,RVAD IMPLANTED DURING LISTING,
SGOT_DON,DECEASED DONOR-TERMINAL SGOT/AST,,8,10.2,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,DDR TERMINAL LAB SGOT/AST,
SGPT_DON,DECEASED DONOR-TERMINAL SGPT/ALT,,8,10.2,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,DDR TERMINAL LAB SGPT/ALT,
SHARE_TY,LOC,,8,,CALCULATED,,,,NUM,CHAR,,,SHARE TYPE,
SKIN_CANCER_DON,DECEASED DONOR-SKIN CANCER AT PROCUREMENT (Y/N),,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR SKIN CANCER AT PROCUREMENT (Y/N),
SSDMF_DEATH_DATE,SOCIAL SECURITY DEATH MASTER FILE DEATH DATE,,8,MMDDYY10.,,,,,NUM,D,,,SSDMF DEATH DATE,
STERNOTOMY_TCR,EVENTS OCCURRING PRIOR TO LISTING: STERNOTOMY,,8,6,TCR,25-Oct-99,30-Jun-04,CLINICAL INFORMATION,NUM,CHAR,998,998,TCR Sternotomy Number Prior to Listing (Pre 6/30/2004),
STERNOTOMY_TRR,EVENTS OCCURRING BETWEEN LISTING AND TRANSPLANT: STERNOTOMY,,8,6,TRR,25-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,NUM,CHAR,998,998,TRR STERNOTOMY - SINCE LISTING,10/01/1990-04/01/1994: NO EXPLICIT INSTRUCTIONS ABOUT TIME FRAME
STEROID,CHRONIC STEROID USE Y/N/U @ TRANSPLANT,,1,$1.00 ,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR CHRONIC STEROID USE,
SUD_DEATH,HEART MEDICAL FACTORS: SUDDEN DEATH (pre 1/1/2007 for adult patients),,1,$1.00 ,TCR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,TCR HEART SUDDEN DEATH (Pre 1/1/2007 for adult),
SVR_INIT_DON,DDR:SVR (initial) //SVR: (dynes/sec/cm)^5),,8,9.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:SVR (initial) //SVR: (dynes/sec/cm)^5),
SVR_POST_DON,DDR:SVR (final) //SVR:,,8,9.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:SVR (final) //SVR:,
SYST_PA_CATH_INIT_DON,DDR PA CATHETER INIT (MM/HG),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR PA CATHETER INIT (MM/HG),
SYST_PA_CATH_POST_DON,DDR PA CATHETER FINAL (MM/HG),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR PA CATHETER FINAL (MM/HG),
SYSTOLIC_PA_CATH_OLD_DON,ARCHIVED DDR PA SYSTOLIC,,8,10.2,DDR,25-Oct-99,30-Jun-04,ORGAN RECOVERY,NUM,NUM,,,ARCHIVED DDR PA SYSTOLIC,
TAH,CANDIDATE HAS TOTAL ARTIFICIAL HEART?,,1,$1.00 ,WL,30-Jun-04,,WAITING LIST DATA,CHAR,CHAR,,,WL CANDIDATE HAS TOTAL ARTIFCIAL HEART?,
TATTOOS,DECEASED DONOR-TATOOS,,1,$1.00 ,DDR,25-Oct-99,,DONOR HISTORY,CHAR,CHAR,,,DON TATTOOS,
TBILI,MOST RECENT SERUM TOTAL BILIRUBIN @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR TOTAL BILIRUBIN MG/DL,
TBILI_DON,DECEASED DONOR-TERMINAL TOTAL BILIRUBIN,,8,10.2,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,DDR TERMINAL LAB BILIRUBIN,
TCR_CDC_GROWTH_BMI,CANDIDATE CDC BMI PERCENTILE AT LISTING,,8,4,TCR,30-Jun-04,,CLINICAL INFORMATION,NUM,NUM,,,TCR PEDIATRIC GROWTH PERCENTILE: BMI,
TCR_CDC_GROWTH_HGT,CANDIDATE CDC HGT PERCENTILE AT LISTING,,8,4,TCR,30-Jun-04,,CLINICAL INFORMATION,NUM,NUM,,,TCR PEDIATRIC GROWTH PERCENTILE: HGT,
TCR_CDC_GROWTH_WGT,CANDIDATE CDC WGT PERCENTILE AT LISTING,,8,4,TCR,30-Jun-04,,CLINICAL INFORMATION,NUM,NUM,,,TCR PEDIATRIC GROWTH PERCENTILE: WGT,
TCR_DGN,CANDIDATE DIAGNOSIS AT LISTING,TH_DGN,8,6,TCR,1-Apr-94,,CLINICAL INFORMATION,NUM,CHAR,,,TCR PRIMARY DIAGNOSIS AT LISTING,
TCR_DGN_OSTXT,CANDIDATE TEXT OF OTHER SPECIFY DIAGNOSIS AT LISTING,,50,$50.00 ,TCR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,"TCR PRIMARY DIAGNOSIS/TEXT OF OTHER, SPECIFY",
TCR_DUR_ABSTAIN,DURATION OF ABSTINENCE FOR CIGARETTE USE,CIGDUR,8,6,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR DURATION OF ABSTINENCE FOR CIGARETTE USE,
THORACIC_DGN,Waitlist CANDIDATE DIAGNOSIS,TH_DGN,8,6,WL DATA,,,,NUM,CHAR,,,WL Thoracic Diagnosis,
THORACOT_LT_OLD,CANDIDATE THORACOTOMY LEFT AT LISTING,,1,$1 ,TCR,,30-Jun-04,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,U,U,TCR THORACOTOMY LEFT AT LISTING (PRE 6/30/2004),
THORACOT_RT_OLD,CANDIDATE THORACOTOMY RIGHT AT LISTING,,1,$1 ,TCR,,30-Jun-04,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,U,U,TCR THORACOTOMY RIGHT AT LISTING (PRE 6/30/2004),
TOT_SERUM_ALBUM,PATIENT TOTAL SERUM ALBUMIN  @ REGISTRATION (pre 1/1/2007 for adult),,8,10.2,TCR,25-Oct-99,,CLINICAL INFORMATION,NUM,NUM,,,TCR TOTAL SERUM ALBUMIN AT LISTING (Pre 1/1/2007 for adult),
TRANSFUS_INTRAOP_NUM_OLD_DON,ARCHIVED DDR TRANSFUSION UNITS INTRAOPERATIVELY,TRANSFUS,8,6,DDR,25-Oct-99,30-Jun-04,CLINICAL INFORMATION,NUM,NUM,,,ARCHIVED DDR TRANSFUSION UNITS INTRAOPERATIVELY,
TRANSFUS_PRIOR_NUM_OLD_DON,ARCHIVED DDR TRANSUFISION UNITS PRE-OPERATIVELY,TRANSFUS,8,6,DDR,25-Oct-99,30-Jun-04,CLINICAL INFORMATION,NUM,NUM,,,ARCHIVED DDR TRANSUFISION UNITS PRE-OPERATIVELY,
TRANSFUS_TERM_DON,DDR:Number of transfusions during this (terminal) hospitalization:,TRANSFUS,8,6,DDR,30-Jun-04,,CLINICAL INFORMATION,NUM,NUM,,,DDR:Number of transfusions during this (terminal) hospitalization:,
TRANSFUSIONS,EVENTS OCCURRING BETWEEN LISTING AND TRANSPLANT: TRANSFUSIONS Y/N/U,,1,$1.00 ,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR TRANSFUSIONS - SINCE LISTING,
TRANSPLANT_COUNTRY,COUNTRY OF TRANSPLANT FOR RECEIVING A TRANSPLANT IN ANOTHER COUNTRY,,8,6,WL DATA,,,,NUM,CHAR,,,WL Country of Transplant for Receiving a Transplant in Another Country,
TRR_ID_CODE,ENCRYPTED TRANSPLANT IDENTIFIER,,15,,CALCULATED,,,,CHAR,D,,,ENCRYPTED TRR_ID,
TRTREJ1Y,TREATED FOR REJECTION WITHIN 1 YEAR,,1,,CALCULATED,,,,CHAR,D,,,CALCULATED - TREATED FOR REJECTION WITHIN 1 YEAR,
TX_DATE,TRANSPLANT DATE,,8,MMDDYY10.,TRR,1-Oct-87,,RECIPIENT INFORMATION,NUM,DATE,,,TRR TRANSPLANT DATE,
TX_PROCEDUR_TY,RECIPIENT PROCEDURE TYPE - CALCULATED,THPROC,8,6,CALCULATED,,,,NUM,CHAR,,,CALCULATED PROCEDURE TYPE,
TX_TYPE,TYPE OF TRANSPLANT,,3,,CALCULATED,,,,CHAR,CHAR,,,HR: ORTHO/HETERO; LU: SINGLE/DOUBLE,
TX_YEAR,TRANSPLANT YEAR,,5,5,CALCULATED,,,,NUM,NUM,,,TRANSPLANT YEAR,
TXED,CANDIDATE RECEIVED DECEASED DONOR TRANSPLANT? 1=YES,,4,2,WL,,,WAITING LIST DATA,NUM,CHAR,,,CANDIDATE REMOVED FOR DECEASED DONOR TRANSPLANT (0/1),
TXHRT,SIMULTANEOUS HEART,,1,,CALCULATED,,,,CHAR,CHAR,,,SIMULTANEOUS HEART-Y,
TXINT,SIMULTANEOUS INTESTINE,,1,,CALCULATED,,,,CHAR,CHAR,,,"SIMULTANEOUS INTESTINE - W, S","W-Whole, S-Segment  (This field to determines the type of multi-organ transplant performed) "
TXKID,SIMULTANEOUS KIDNEY,,1,,CALCULATED,,,,CHAR,CHAR,,,"SIMULTANEOUS KIDNEY - R, L, E","R-Right, L-Left, E-En-Bloc (This field to determines the type of multi-organ transplant performed) "
TXLIV,SIMULTANEOUS LIVER,,1,,CALCULATED,,,,CHAR,CHAR,,,"SIMULTANEOUS LIVER - W, S","W-Whole, S-Segment/Split  (This field to determines the type of multi-organ transplant performed) "
TXLNG,SIMULTANEOUS LUNG,,1,,CALCULATED,,,,CHAR,CHAR,,,"SIMULTANEOUS LUNG - R, L, D","R-Right, L-Left, D-Double (This field to determines the type of multi-organ transplant performed) "
TXPAN,SIMULTANEOUS PANCREAS,,1,,CALCULATED,,,,CHAR,CHAR,,,"SIMULTANEOUS PANCREAS - W, S","W-Whole, S-Segment  (This field to determines the type of multi-organ transplant performed) "
URINE_INF_CONF_DON,DECEASED DONOR-INFECTION URINE SOURCE-CONFIRMED,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR INFECTION URINE SOURCE-CONFIRMED,
URINE_INF_DON,DECEASED DONOR-INFECTION URINE SOURCE,,8,1,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,CHAR,,,DDR INFECTION URINE SOURCE,
VAD_AT_LISTING,VAD (TYPE UNKNOWN) AT LISTING,,8,,WL DATA,,,,NUM,CHAR,,,VAD (TYPE UNKNOWN) AT LISTING,
VAD_BRAND1_OSTXT_TCR,CANDIDATE TEXT OF VAD BRAND 1 AT LISTING,,50,$50.00 ,TCR,30-Jun-04,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR LVAD BRAND: OTHER SPECIFIED,
VAD_BRAND1_OSTXT_TRR,TRR LIFE SUPPORT VAD BRAND 1 OTHER SPECIFED TEXT,,50,$50.00 ,TRR,30-Jun-04,,PATIENT STATUS,CHAR,CHAR,,,TRR VAD BRAND 1 TEXT,
VAD_BRAND1_TCR,CANDIDATE VAD BRAND 1 AT LISTING,,8,6,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,999,,TCR LVAD BRAND,
VAD_BRAND1_TRR,TRR LIFE SUPPORT VAD BRAND 1,VADBRAND,8,6,TRR,30-Jun-04,,PATIENT STATUS,NUM,CHAR,999,,TRR VAD BRAND 1,
VAD_BRAND2_OSTXT_TCR,CANDIDATE TEXT OF VAD BRAND 2 AT LISTING,,50,$50.00 ,TCR,30-Jun-04,,CANDIDATE INFORMATION,CHAR,CHAR,unknown/unsure of brand,UNKNOWN; UNSURE OF BRAND,TCR RVAD BRAND: OTHER SPECIFIED,
VAD_BRAND2_OSTXT_TRR,TRR LIFE SUPPORT VAD BRAND 2 OTHER SPECIFED TEXT,,50,$50.00 ,TRR,30-Jun-04,,PATIENT STATUS,CHAR,CHAR,Unknown,UNKNOWN,TRR VAD BRAND 2 TEXT,
VAD_BRAND2_TCR,CANDIDATE VAD BRAND 2 AT LISTING,,8,6,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,999,,TCR RVAD BRAND,
VAD_BRAND2_TRR,TRR LIFE SUPPORT VAD BRAND 2,VADBRAND,8,6,TRR,30-Jun-04,,PATIENT STATUS,NUM,CHAR,999,,TRR VAD BRAND 2 ,
VAD_DEVICE_TY_TCR,CANDIDATE TYPE OF VAD DEVICE AT LISTING,VADDEVTY,8,6,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR PATIENT ON VENTRICULAR ASSIST DEVICE TYPE,
VAD_DEVICE_TY_TRR,TRR VAD DEVICE TYPE,VADDEVTY,8,6,TRR,30-Jun-04,,PATIENT STATUS,NUM,CHAR,,,TRR VAD DEVICE TYPE,
VAD_TAH_OSTXT_TCR,"CANDIDATE ON LIFE SUPPORT - VAD/TAH @ REGISTRATION, OTHER SPECIFY",,50,$50.00 ,TCR,1-Apr-94,30-Jun-04,CANDIDATE INFORMATION,CHAR,CHAR,"Unknown, Unknown Type","UNKNOWN; BIVAD, UNKNOWN TYPE",TCR TAH: OTHER SPECIFY,
VAD_TAH_OSTXT_TRR,"RECIPIENT ON LIFE SUPPORT - VAD/TAH @ TRANSPLANT, OTHER SPECIFY ",,50,$50.00 ,TRR,1-Apr-94,30-Jun-04,PATIENT STATUS,CHAR,CHAR,,,TRR VAD OTHER SPECIFY,
VAD_TAH_TCR,CANDIDATE ON LIFE SUPPORT - VAD/TAH @ REGISTRATION,VADTAH,8,6,TCR,1-Apr-94,30-Jun-04,CANDIDATE INFORMATION,NUM,CHAR,,,VAD_TAH,
VAD_TAH_TRR,RECIPIENT ON LIFE SUPPORT - VAD/TAH @ TRANSPLANT,VADTAH,8,6,TRR,1-Apr-94,30-Jun-04,PATIENT STATUS,NUM,CHAR,,,TRR VAD,
VAD_WHILE_LISTED,VAD (TYPE UNKNOWN) IMPLANTED DURING LISTING,,8,,WL DATA,,,,NUM,CHAR,,,VAD (TYPE UNKNOWN) IMPLANTED DURING LISTING,
VAS,WL CANDIDATE ON VENTRICULAR ASSIST DEVICE TYPE,,1,$1 ,WL,,,WAITING LIST DATA,CHAR,CHAR,,,WL CANDIDATE ON VENTRICULAR ASSIST,
VASODIL_DON,DECEASED DONOR-VASODILATORS W/IN 24HRS PRE-CROSS CLAMP,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR VASODILATORS PRE CROSS CLAMP,
VDRL_DON,DECEASED DONOR-RPR-VDRL RESULT,$SERSTAT,2,$2.00 ,DDR,1-Oct-87,,CLINICAL INFORMATION,CHAR,CHAR,,C; ND; U; I; PD,DDR RPR-VDRL SEROLOGY,
VENT_SUPPORT_AFTER_LIST,EVENTS OCCURRING BETWEEN LISTING AND TRANSPLANT: EPISODE OF VENTILATORY SUPPORT,,1,$1.00 ,TRR,25-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR EPISODE OF VENTILATORY SUPPORT SINCE LISTING,
VENT_SUPPORT_TRR,TRR EPISODE OF VENTILATORY SUPPORT,,1,$1 ,,,,,CHAR,CHAR,U,U,TRR EPISODE OF VENTILATORY SUPPORT,
VENT_TIMEFRAME_TRR,TRR MOST RECENT VENT SUPPORT TIMEFRAME,,8,6,TRR,,,,NUM,CHAR,,,TRR MOST RECENT VENT SUPPORT TIMEFRAME,
VENTILATOR_TCR,PATIENT ON LIFE SUPPORT - VENTILATOR @ REGISTRATION,,8,1,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR LIFE SUPPORT VENTILATOR,
VENTILATOR_TRR,PATIENT ON LIFE SUPPORT - VENTILATOR @ TRANSPLANT,,8,1,TRR,1-Oct-87,,PATIENT STATUS,NUM,CHAR,,,TRR LIFE SUPPORT VENTILATOR,
VESSELS_50STEN,"DECEASED DONOR CORONARY ANGIOGRAM: IF YES NORMAL: # VESSELS WITH > 50% STENOSIS 1,2 OR 3 ",,8,6,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,NUM,NUM,,,"DON IF ABNORMAL, # OF VESSELS WITH > 50% STENOSIS",
WALL_ABN_GLOB_DON,"DDR GLOBAL WALL ABNORMALITIES (Y,N)",,1,1,DDR,25-Oct-99,,ORGAN RECOVERY,CHAR,CHAR,,,"DDR GLOBAL WALL ABNORMALITIES (Y,N)",
WALL_ABN_SEG_DON,"DDR SEGMENTAL WALL ABNORMALITIES (Y,N)",,1,1,DDR,25-Oct-99,,ORGAN RECOVERY,CHAR,CHAR,,,"DDR SEGMENTAL WALL ABNORMALITIES (Y,N)",
WGT_KG_CALC,CALCULATED RECIPIENT WEIGHT (kg),,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Recipient Weight (kg),
WGT_KG_DON_CALC,CALCULATED DONOR WEIGHT (KG),,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Donor Weight,
WGT_KG_TCR,RECIPIENT WEIGHT (kg) @ REGISTRATION,,8,9.4,TCR,1-Oct-87,,CLINICAL INFORMATION,NUM,NUM,,,TCR WEIGHT (KG) AT TIME OF LISTING,
WL_ID_CODE,ENCRYPTED REGISTRATION IDENTIFIER,,8,13.1,CALCULATED,,,,NUM,D,,,ENCRYPTED WL_ID,
WL_ORG,ORGAN LISTED FOR,,4,,WL DATA,1-Oct-87,,,CHAR,CHAR,,,WL Desired Organ,
WLHL,WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART-LUNG?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/HEART-LUNG,
